title,company_name,location,salary_extension,salary_unit,experience_required,education_required,skills,welfareList
全栈开发工程师,肇庆华阳云科信息科技,肇庆,8-13K,月薪,1-3年,大专,Java Python Spring/Spring Boot JavaScript,
Python/多Agent/Ai工作流,添越ai开发部,肇庆,8-13K,月薪,3-5年,本科,Nginx Redis 其他 大模型 多Agent系统 爬虫经验 Docker Pandas MySQL MongoDB Selenium 架构设计经验 Aigc Python Flask,
软件工程师,广东迪恩自动化科技,肇庆,8-12K,月薪,3-5年,大专,Java C/C++ JavaScript Vue 前端开发经验 全栈项目经验,绩效奖金 年终奖 五险一金
AI大模型应用开发实习生【居家办公】,智乐活,肇庆,150-180元/天,月薪,,本科,,五险一金 带薪年假 节日福利 绩效奖金 零食下午茶 年终奖 员工旅游 团建聚餐 股票期权 生日福利 加班补助
市场分析师 双休 带薪假 社保,华世进出口,肇庆,5-9K,月薪,1-3年,大专,,加班补助 节假日加班费 绩效奖金 底薪加提成 年终奖 五险一金
全栈软件工程师,广东三胜智能科技,肇庆,8-13K,月薪,3-5年,本科,C/C++ 全栈项目经验 后端开发经验,企业年金 住房补贴 全勤奖 生日福利 绩效奖金 包吃 有无线网 年终奖 包住 节日福利 工龄奖 五险一金 带薪年假 团建聚餐 股票期权 底薪加提成 加班补助 交通补助 餐补 保底工资
Python开发,荟新科技,肇庆,5-8K,月薪,经验不限,学历不限,Python SQL JavaScript C++ Python工程师 小程序 数据库开发 数据分析,五险一金 定期体检
ai工程师,广东创智智能装备,肇庆,8-12K,月薪,3-5年,本科,Java Python C/C++ 后端开发经验 计算机相关专业,高温补贴 生日福利 年终奖 宿舍有空调 绩效奖金 团建聚餐 通讯补贴 免费工装 带薪年假 周末双休 夜班补助 定期体检 底薪加提成 包吃 包住 加班补助 五险一金 意外险 节日福利
少儿机器人编程教师,学思堂,肇庆,5-6K,月薪,1-3年,大专,线下教育 坐班 小班教学（3-25人） 中学生 学前儿童/小学生 幼儿教育工作经验 心理学专业背景 玩教具制作 全职 有计算机或编程方面教资证,有无线网 保底工资 全勤奖 包住 工龄奖 五险一金 包吃
数据库管理员,广东恒逸软件,肇庆,5-8K,月薪,经验不限,本科,,定期体检 带薪年假 节日福利 企业年金 节假日加班费 年终奖 五险一金 夜班补助 包吃 加班补助 绩效奖金 工龄奖 保底工资 全勤奖 底薪加提成 法定节假日三薪 员工旅游
软件工程师/AI agent工程师,肇庆虾虾动漫文化,肇庆,8-13K,月薪,3-5年,学历不限,互联网/AI 软件工程师,
后端主管,四会市古山珠宝店...,肇庆,15-16K,月薪,1-3年,本科,,
AI算法工程师,华盈体育,肇庆,12-18K,月薪,1-3年,本科,机器学习 随机森林,包吃 住房补贴 年终奖 零食下午茶 加班补助 带薪年假 定期体检 五险一金 节日福利 员工旅游
少儿编程教师,鸿才,肇庆,4-7K,月薪,经验不限,大专,图形化编程 Python C++,零食下午茶 节日福利 餐补 五险一金 年终奖 带薪年假 通讯补贴
全栈工程师,明远生物科技(广...,肇庆,6-11K,月薪,1-3年,大专,Golang 后端开发经验 JavaScript 前端开发经验 全栈项目经验,意外险 宿舍有空调 法定节假日三薪 有无线网 带薪年假 包住 底薪加提成 交通补助 股票期权 全勤奖 定期体检 住房补贴 免费工装 补充医疗保险 年终奖 节日福利 餐补 五险一金 绩效奖金
全栈开发工程师,肇庆华阳云科信息科技,肇庆,8-13K,月薪,1-3年,大专,Java Python Spring/Spring Boot JavaScript,
Python/多Agent/Ai工作流,添越ai开发部,肇庆,8-13K,月薪,3-5年,本科,Nginx Redis 其他 大模型 多Agent系统 爬虫经验 Docker Pandas MySQL MongoDB Selenium 架构设计经验 Aigc Python Flask,
软件工程师,广东迪恩自动化科技,肇庆,8-12K,月薪,3-5年,大专,Java C/C++ JavaScript Vue 前端开发经验 全栈项目经验,绩效奖金 年终奖 五险一金
AI大模型应用开发实习生【居家办公】,智乐活,肇庆,150-180元/天,月薪,,本科,,五险一金 带薪年假 节日福利 绩效奖金 零食下午茶 年终奖 员工旅游 团建聚餐 股票期权 生日福利 加班补助
市场分析师 双休 带薪假 社保,华世进出口,肇庆,5-9K,月薪,1-3年,大专,,加班补助 节假日加班费 绩效奖金 底薪加提成 年终奖 五险一金
Python开发,荟新科技,肇庆,5-8K,月薪,经验不限,学历不限,Python SQL JavaScript C++ Python工程师 小程序 数据库开发 数据分析,五险一金 定期体检
全栈软件工程师,广东三胜智能科技,肇庆,8-13K,月薪,3-5年,本科,C/C++ 全栈项目经验 后端开发经验,企业年金 住房补贴 全勤奖 生日福利 绩效奖金 包吃 有无线网 年终奖 包住 节日福利 工龄奖 五险一金 带薪年假 团建聚餐 股票期权 底薪加提成 加班补助 交通补助 餐补 保底工资
ai工程师,广东创智智能装备,肇庆,8-12K,月薪,3-5年,本科,Java Python C/C++ 后端开发经验 计算机相关专业,高温补贴 生日福利 年终奖 宿舍有空调 绩效奖金 团建聚餐 通讯补贴 免费工装 带薪年假 周末双休 夜班补助 定期体检 底薪加提成 包吃 包住 加班补助 五险一金 意外险 节日福利
数据库管理员,广东恒逸软件,肇庆,5-8K,月薪,经验不限,本科,,定期体检 带薪年假 节日福利 企业年金 节假日加班费 年终奖 五险一金 夜班补助 包吃 加班补助 绩效奖金 工龄奖 保底工资 全勤奖 底薪加提成 法定节假日三薪 员工旅游
少儿机器人编程教师,学思堂,肇庆,5-6K,月薪,1-3年,大专,线下教育 坐班 小班教学（3-25人） 中学生 学前儿童/小学生 幼儿教育工作经验 心理学专业背景 玩教具制作 全职 有计算机或编程方面教资证,有无线网 保底工资 全勤奖 包住 工龄奖 五险一金 包吃
软件工程师/AI agent工程师,肇庆虾虾动漫文化,肇庆,8-13K,月薪,3-5年,学历不限,互联网/AI 软件工程师,
后端主管,四会市古山珠宝店...,肇庆,15-16K,月薪,1-3年,本科,,
AI算法工程师,华盈体育,肇庆,12-18K,月薪,1-3年,本科,机器学习 随机森林,包吃 住房补贴 年终奖 零食下午茶 加班补助 带薪年假 定期体检 五险一金 节日福利 员工旅游
Python,中软国际,肇庆,10-15K,月薪,经验不限,本科,Python MySQL 爬虫经验,节假日加班费 定期体检 年终奖 五险一金 节日福利 零食下午茶 免费班车 带薪年假
少儿编程教师,鸿才,肇庆,4-7K,月薪,经验不限,大专,图形化编程 Python C++,零食下午茶 节日福利 餐补 五险一金 年终奖 带薪年假 通讯补贴
java开发工程师,蓝图商务,肇庆,5-6K·13薪,月薪,1-3年,大专,Java Nginx SpringCloud MySQL MyBatis Redis,有无线网 绩效奖金 年终奖 带薪年假 五险一金
IT技术-会Java（珠海驻场-港企/粤语+英语）,极联股份,肇庆,11-19K,月薪,5-10年,大专,,五险一金 带薪年假 节日福利 零食下午茶 全勤奖
